Type Measure,Sensor Name,time,dev_id,battery,temperature,humidity,solarPanel,command,solar,precipitation,strikes,windSpeed,windDirection,gustSpeed,airTemp,vapourPressure,atmosphericPressure,relativeHumidity,motion,inTrip,averageSpl,carbonMonoxide,nitrogenDioxide,ozone,particulatesErr,particulatesVsn,peakSpl,pm1,pm10,pm25,Lat Long,Location Picture Hyperlink
Smart Bin,r718x-bin sensor 16,2022-11-25T17:20:33+11:00,r718x-6f13,3.6,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8028815,144.9662607",
Smart Bin,r718x-bin sensor 19,2022-11-25T17:23:55+11:00,r718x-6f31,3.6,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8022594,144.9659489",
Smart Bin,r718x-bin sensor 17,2022-11-25T17:23:03+11:00,r718x-6f16,3.6,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8028794,144.9662728",
Smart Bin,r718x-bin sensor 8,2022-11-25T17:30:06+11:00,r718x-6778,3.6,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8025943,144.9658434",
Smart Bin,r718x-bin sensor 14,2022-11-25T17:32:50+11:00,r718x-6f0b,3.6,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8020809,144.9654563",
Smart Bin,r718x-bin sensor 6,2022-11-25T17:33:27+11:00,r718x-6774,3.6,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8032344,144.9663926",
Smart Bin,r718x-bin sensor 1,2022-11-25T17:34:29+11:00,r718x-676b,3.6,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8027498,144.9664732",
Smart Bin,r718x-bin sensor 10,2022-11-25T16:02:44+11:00,r718x-677c,3.6,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8032818,144.9661258",
Smart Bin,r718x-bin sensor 18,2022-11-25T16:47:23+11:00,r718x-6f25,3.6,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8022434,144.9657104",
Smart Bin,r718x-bin sensor 3,2022-11-25T17:07:13+11:00,r718x-676f,3.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8021852,144.9665057",
Smart Bin,r718x-bin sensor 2,2022-11-25T17:17:17+11:00,r718x-676c,3.6,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8031969,144.9652732",
Smart Bin,r718x-bin sensor 21,2022-11-25T17:20:14+11:00,r718x-6f35,3.6,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8021666,144.9661648",
Smart Bin,r718x-bin sensor 5,2022-11-25T17:21:22+11:00,r718x-6773,3.6,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8022471,144.9665562",
Smart Bin,r718x-bin sensor 15,2022-11-25T17:25:39+11:00,r718x-6f0f,3.6,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8026257,144.9652423",
Smart Bin,r718x-bin sensor 12,2022-11-25T17:26:19+11:00,r718x-677e,3.6,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8025769,144.9656557",
Smart Bin,r718x-bin sensor 7,2022-11-25T17:21:40+11:00,r718x-6775,3.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8026209,144.9660728",
Smart Bin,r718x-bin sensor 4,2022-11-25T17:22:17+11:00,r718x-6771,3.6,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8032085,144.9652622",
Smart Bin,r718x-bin sensor 20,2022-11-25T17:33:42+11:00,r718x-6f34,3.6,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.802165,144.9661423",
Smart Bin,r718x-bin sensor 13,2022-11-25T17:11:21+11:00,r718x-6f06,3.6,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8032959,144.9661516",
Smart Bin,r718x-bin sensor 9,2022-11-25T17:21:11+11:00,r718x-677a,3.6,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8028672,144.9657946",
Smart Bin,r718x-bin sensor 11,2022-11-25T17:22:04+11:00,r718x-677d,3.6,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,"-37.8021051,144.9654523",
